Latitude: 39.20743286, Longitude: 117.22635290, Heading: 74.78000000, Status: 2
Latitude: 39.20743297, Longitude: 117.22635333, Heading: 74.78000000, Status: 2
Latitude: 39.20743306, Longitude: 117.22635373, Heading: 74.77000000, Status: 2
Latitude: 39.20743316, Longitude: 117.22635412, Heading: 74.75000000, Status: 2
Latitude: 39.20743325, Longitude: 117.22635450, Heading: 74.69000000, Status: 2
Latitude: 39.20743334, Longitude: 117.22635487, Heading: 74.59000000, Status: 2
Latitude: 39.20743342, Longitude: 117.22635522, Heading: 74.45000000, Status: 2
Latitude: 39.20743351, Longitude: 117.22635556, Heading: 74.28000000, Status: 2
Latitude: 39.20743359, Longitude: 117.22635589, Heading: 74.06000000, Status: 2
Latitude: 39.20743367, Longitude: 117.22635623, Heading: 73.79000000, Status: 2
Latitude: 39.20743376, Longitude: 117.22635658, Heading: 73.45000000, Status: 2
Latitude: 39.20743386, Longitude: 117.22635697, Heading: 73.06000000, Status: 2
Latitude: 39.20743394, Longitude: 117.22635737, Heading: 72.63000000, Status: 2
Latitude: 39.20743404, Longitude: 117.22635781, Heading: 72.17000000, Status: 2
Latitude: 39.20743415, Longitude: 117.22635827, Heading: 71.67000000, Status: 2
Latitude: 39.20743427, Longitude: 117.22635876, Heading: 71.14000000, Status: 2
Latitude: 39.20743440, Longitude: 117.22635927, Heading: 70.58000000, Status: 2
Latitude: 39.20743454, Longitude: 117.22635982, Heading: 70.00000000, Status: 2
Latitude: 39.20743470, Longitude: 117.22636039, Heading: 69.40000000, Status: 2
Latitude: 39.20743486, Longitude: 117.22636098, Heading: 68.80000000, Status: 2
Latitude: 39.20743504, Longitude: 117.22636160, Heading: 68.19000000, Status: 2
Latitude: 39.20743519, Longitude: 117.22636228, Heading: 67.56000000, Status: 2
Latitude: 39.20743539, Longitude: 117.22636294, Heading: 66.91000000, Status: 2
Latitude: 39.20743560, Longitude: 117.22636362, Heading: 66.28000000, Status: 2
Latitude: 39.20743582, Longitude: 117.22636432, Heading: 65.61000000, Status: 2
Latitude: 39.20743606, Longitude: 117.22636503, Heading: 64.96000000, Status: 2
Latitude: 39.20743630, Longitude: 117.22636576, Heading: 64.32000000, Status: 2
Latitude: 39.20743655, Longitude: 117.22636649, Heading: 63.68000000, Status: 2
Latitude: 39.20743682, Longitude: 117.22636723, Heading: 63.06000000, Status: 2
Latitude: 39.20743710, Longitude: 117.22636799, Heading: 62.45000000, Status: 2
Latitude: 39.20743739, Longitude: 117.22636876, Heading: 61.84000000, Status: 2
